name,mean,standard_deviation,confidence_interval_norm_a,confidence_interval_norm_b
column,81.23305652063384,11.850382483398542,81.20972831092816,81.25638473033952
column,0.9808368741954878,0.6059612464003457,0.9796440020625128,0.9820297463284628
column,0.9784308028778836,0.6047867022605942,0.9772402429075784,0.9796213628481889
column,1.0314965237005742,0.17465544213706122,1.0311527036773709,1.0318403437237775
column,1.030475625552314,0.17189209291353677,1.0301372453527,1.030814005751928
column,122.43204671920459,14.542805706063477,122.40341830812206,122.46067513028713
column,76.05226958167387,9.889232704609686,76.03280201641303,76.07173714693471
column,100.42162589126829,24.170510958360314,100.3740447478647,100.46920703467188
column,195.5132747023053,38.054265230965484,195.4383625312638,195.58818687334679
column,56.92946118367693,15.220790071277209,56.89949811850445,56.95942424884941
column,113.00705045173734,34.95017868182186,112.93824886675199,113.0758520367227
column,132.04616537742967,100.4162789672993,131.8484897313571,132.24384102350226
column,14.229770479499317,1.5848706873330576,14.22665056368206,14.232890395316574
column,1.0941839069328265,0.437596771436844,1.0933224706656928,1.0950453431999603
column,0.8604647104159857,0.48053998001597714,0.8595187377909266,0.8614106830410448
column,25.986995654121323,23.483270964269703,25.94076738508467,26.033223923157976
column,25.75357314351891,26.306113918022902,25.70178793381105,25.80535835322677
column,37.12669325844057,50.36653709788572,37.02754361991925,37.225842896961886
